ticker,date,source,na_sentiment_score_mean,na_sentiment_score_std,na_sentiment_score_count,na_positive_score_mean,na_negative_score_mean,na_neutral_score_mean
GE,2026-01-26,newsapi,0.6416148444016775,0.2527147536849692,3,0.47956909735997516,0.3015606893847386,0.21887021511793137
GE,2026-01-27,newsapi,0.7504550218582153,0.07401837964852911,2,0.41815023869276047,0.14124568179249763,0.4406040906906128
GOOGL,2026-01-22,newsapi,0.8331404805183411,0.10129922652672524,5,0.2811203174293041,0.18764496669173242,0.5312347255647183
GOOGL,2026-01-23,newsapi,0.7419400910536448,0.21658971756410023,3,0.44273512872556847,0.3105501946993172,0.24671468635400137
GOOGL,2026-01-25,newsapi,0.9083807170391083,0.030924280717352745,2,0.4810146149247885,0.04586441069841385,0.47312096506357193
GOOGL,2026-01-26,newsapi,0.946333646774292,,1,0.037713248282670975,0.015953101217746735,0.946333646774292
GS,2026-01-22,newsapi,0.8882307410240173,0.12541927151431495,4,0.0902658118866384,0.4933334563393146,0.4164007550571114
GS,2026-01-23,newsapi,0.8056602577368418,0.1613757112796928,6,0.11505315437292059,0.2394636602451404,0.6454831706359982
GS,2026-01-27,newsapi,0.9181627035140991,0.050046779214461254,3,0.3143823289622863,0.3304233994955818,0.3551942811657985
HON,2026-01-22,newsapi,0.9026691615581512,0.06760173269698806,2,0.08046105317771435,0.016869825776666403,0.9026691615581512
HON,2026-01-25,newsapi,0.9116545915603638,,1,0.03581645339727402,0.05252891778945923,0.9116545915603638
HON,2026-01-26,newsapi,0.9628163576126099,,1,0.008025160059332848,0.9628163576126099,0.02915848419070244
HON,2026-01-27,newsapi,0.48828916251659393,0.017103127905448032,2,0.3038415051996708,0.21508555859327316,0.48107296228408813
INTC,2026-01-22,newsapi,0.810038599703047,0.13073429592051358,9,0.19086663300792375,0.5172279697532455,0.2919054064485762
INTC,2026-01-23,newsapi,0.8686396241188049,0.2067171683821233,5,0.09955268204212189,0.7827150285243988,0.11773230955004692
INTC,2026-01-24,newsapi,0.7542732954025269,,1,0.02252442017197609,0.7542732954025269,0.22320231795310974
INTC,2026-01-25,newsapi,0.9568198323249817,,1,0.01221166830509901,0.9568198323249817,0.030968502163887024
INTC,2026-01-26,newsapi,0.8903264800707499,0.11419426190598847,3,0.08002146566286683,0.34872069489210844,0.5712577862044176
INTC,2026-01-27,newsapi,0.9717459678649902,,1,0.008167736232280731,0.9717459678649902,0.020086266100406647
JNJ,2026-01-24,newsapi,0.7543086409568787,,1,0.1872059851884842,0.058485399931669235,0.7543086409568787
JNJ,2026-01-26,newsapi,0.47888126969337463,,1,0.19301487505435944,0.47888126969337463,0.3281038999557495
JPM,2026-01-22,newsapi,0.7283519506454468,,1,0.037574511021375656,0.7283519506454468,0.2340734899044037
JPM,2026-01-25,newsapi,0.7639997005462646,,1,0.7639997005462646,0.00899697095155716,0.22700342535972595
JPM,2026-01-26,newsapi,0.4815904200077057,,1,0.050295956432819366,0.4815904200077057,0.46811357140541077
KO,2026-01-22,newsapi,0.8395815491676331,0.04429136445682534,2,0.03128461912274361,0.12913386151194572,0.8395815491676331
KO,2026-01-23,newsapi,0.8073999881744385,,1,0.05131162330508232,0.1412884145975113,0.8073999881744385
KO,2026-01-24,newsapi,0.6478603184223175,0.15054074571393897,2,0.3643089309334755,0.034514401108026505,0.6011766642332077
KO,2026-01-25,newsapi,0.910556972026825,,1,0.0540422759950161,0.03540078178048134,0.910556972026825
KO,2026-01-26,newsapi,0.9032005965709686,0.007891112299846178,2,0.06859195791184902,0.028207410592585802,0.9032005965709686
KO,2026-01-27,newsapi,0.7867617011070251,,1,0.02800275944173336,0.18523558974266052,0.7867617011070251
MCD,2026-01-24,newsapi,0.7543086409568787,,1,0.1872059851884842,0.058485399931669235,0.7543086409568787
META,2026-01-26,newsapi,0.8428768590092659,0.1579859952069877,12,0.2944063349471738,0.32110692001879215,0.3844867317626874
META,2026-01-27,newsapi,0.7813484883970685,0.13799346636976736,36,0.35215895457400215,0.2692729600756947,0.3785680971211857
MMM,2026-01-26,newsapi,0.9083955883979797,,1,0.0325249545276165,0.05907944217324257,0.9083955883979797
MRK,2026-01-25,newsapi,0.590494692325592,,1,0.40152478218078613,0.007980555295944214,0.590494692325592
MRK,2026-01-26,newsapi,0.760424792766571,,1,0.18112574517726898,0.05844942852854729,0.760424792766571
MS,2026-01-22,newsapi,0.8474285751581192,0.07998290017523886,12,0.12774455182564756,0.262840897620966,0.6094145442669591
MS,2026-01-23,newsapi,0.8069714470343157,0.12805686028984012,11,0.21379075368696993,0.4557016867805611,0.3305075552991845
MS,2026-01-24,newsapi,0.8849364668130875,0.08677831248732688,4,0.26356907188892365,0.06220026360824704,0.6742306742817163
MS,2026-01-25,newsapi,0.8664741005216327,0.14497470242768748,7,0.2160169861412474,0.4254622690911804,0.3585207611322403
MS,2026-01-26,newsapi,0.803080712045942,0.12640837969864918,7,0.15592760699135916,0.18695028897907054,0.657122111746243
